Timeslot use: 4

Timeslot 1:
C45 T7 R3
C25 T4 R21
C58 T12 R9
C50 T16 R22
C28 T17 R15
C6 T15 R16
C39 T6 R8
C63 T5 R12
C44 T1 R4
C47 T8 R18
C60 T18 R11
C2 T20 R13
C33 T2 R7
C12 T14 R14
C38 T11 R2
C49 T13 R24
C15 T3 R10
C16 T9 R5

Timeslot 2:
C41 T7 R18
C20 T1 R24
C13 T10 R13
C3 T20 R19
C34 T5 R21
C57 T8 R23
C53 T13 R12
C27 T12 R5
C1 T9 R14
C31 T18 R1
C62 T11 R20
C40 T14 R2
C46 T3 R7
C11 T16 R6
C30 T2 R4
C8 T19 R8
C36 T17 R17
C48 T15 R3
C9 T6 R16

Timeslot 3:
C4 T16 R16
C23 T10 R15
C59 T12 R18
C55 T14 R19
C35 T7 R10
C21 T4 R24
C22 T15 R6
C5 T2 R2
C7 T6 R1
C56 T19 R23
C61 T13 R22
C10 T3 R13
C51 T11 R20
C17 T9 R21
C52 T8 R4

Timeslot 4:
C43 T14 R6
C54 T5 R20
C37 T17 R3
C42 T18 R17
C64 T12 R11
C24 T9 R1
C26 T10 R22
C29 T4 R23
C19 T19 R10
C14 T2 R19
C32 T15 R7
C18 T6 R9


Executed time: 0.022508859634399414
