Timeslot use: 4

Timeslot 1:
C96 T27 R12
C25 T3 R6
C71 T12 R25
C22 T18 R18
C37 T29 R9
C33 T25 R17
C23 T14 R7
C57 T9 R26
C44 T26 R23
C41 T10 R11
C16 T4 R16
C36 T2 R21
C1 T24 R30
C45 T28 R4
C62 T7 R10
C12 T30 R28
C46 T20 R1
C81 T8 R2
C69 T11 R14
C26 T23 R5
C20 T15 R13
C14 T22 R24
C59 T13 R19
C80 T6 R29
C67 T1 R22
C79 T19 R20
C48 T5 R15

Timeslot 2:
C58 T29 R8
C50 T24 R19
C28 T18 R9
C13 T16 R17
C34 T21 R4
C6 T30 R21
C88 T8 R15
C90 T2 R16
C87 T7 R20
C74 T12 R23
C35 T15 R3
C2 T10 R5
C40 T5 R25
C7 T28 R7
C92 T6 R27
C49 T25 R18
C51 T26 R22
C39 T3 R10
C83 T14 R2
C78 T11 R26
C19 T27 R24
C61 T13 R1
C30 T22 R6
C9 T4 R13
C55 T19 R29

Timeslot 3:
C42 T6 R14
C43 T2 R3
C89 T9 R27
C82 T29 R19
C47 T25 R8
C60 T11 R28
C76 T12 R12
C31 T22 R1
C75 T7 R26
C4 T30 R5
C70 T26 R23
C38 T18 R9
C56 T19 R29
C11 T4 R13
C15 T3 R24
C10 T14 R7
C77 T10 R20
C72 T15 R25
C95 T8 R2
C68 T13 R4

Timeslot 4:
C54 T13 R10
C3 T30 R13
C91 T27 R12
C64 T25 R14
C73 T29 R8
C8 T20 R28
C65 T7 R4
C94 T1 R2
C21 T28 R24
C86 T19 R25
C24 T12 R18
C5 T4 R17
C27 T18 R20
C84 T6 R1
C66 T14 R23
C53 T10 R27
C29 T15 R6
C63 T11 R15
C32 T2 R9
C93 T8 R29
C17 T22 R7
C52 T24 R3
C85 T26 R16
C18 T3 R21


Executed time: 0.02639937400817871
