Timeslot use: 3

Timeslot 1:
C45 T17 R17
C20 T11 R16
C43 T6 R15
C54 T23 R29
C3 T28 R12
C34 T5 R8
C6 T7 R11
C59 T2 R28
C41 T20 R23
C38 T21 R25
C60 T8 R5
C35 T22 R3
C1 T27 R26
C2 T9 R2
C33 T4 R14
C5 T16 R10
C7 T3 R1
C46 T24 R13
C49 T14 R6
C26 T10 R4
C29 T25 R24
C15 T13 R7
C36 T19 R9
C67 T18 R20

Timeslot 2:
C58 T14 R20
C42 T26 R21
C28 T22 R9
C4 T9 R12
C39 T13 R6
C8 T16 R25
C55 T1 R22
C16 T10 R8
C65 T18 R18
C24 T19 R7
C27 T8 R2
C62 T2 R29
C12 T28 R1
C40 T3 R17
C51 T7 R28
C11 T25 R23
C53 T29 R15
C14 T27 R26
C63 T15 R27
C22 T11 R19
C52 T6 R11
C18 T4 R4
C9 T17 R10

Timeslot 3:
C25 T11 R4
C37 T18 R5
C13 T9 R18
C64 T1 R22
C57 T8 R9
C44 T15 R16
C47 T5 R28
C17 T28 R7
C31 T20 R13
C21 T7 R19
C50 T17 R21
C56 T2 R3
C66 T19 R14
C23 T21 R27
C19 T27 R24
C61 T6 R1
C30 T10 R2
C32 T4 R20
C10 T3 R10
C48 T14 R25
C68 T26 R23


Executed time: 0.022222042083740234
