Timeslot use: 5

Timeslot 1:
C25 T6 R28
C58 T19 R24
C42 T25 R5
C43 T2 R29
C28 T15 R27
C13 T12 R10
C73 T26 R9
C71 T29 R2
C44 T18 R3
C26 T22 R22
C53 T13 R12
C21 T16 R13
C70 T11 R1
C74 T3 R7
C49 T8 R25
C14 T7 R15
C10 T17 R17
C80 T27 R6
C9 T28 R26

Timeslot 2:
C45 T1 R1
C41 T4 R3
C50 T7 R5
C60 T10 R22
C37 T29 R12
C39 T25 R23
C23 T22 R6
C57 T8 R7
C47 T9 R19
C76 T14 R18
C65 T27 R8
C75 T21 R17
C27 T2 R20
C63 T11 R14
C38 T26 R16
C66 T3 R24
C78 T24 R11
C19 T15 R27
C8 T17 R15
C32 T5 R4
C67 T19 R21
C79 T18 R28

Timeslot 3:
C15 T7 R4
C34 T25 R11
C4 T17 R26
C59 T19 R6
C35 T2 R20
C2 T26 R10
C64 T29 R19
C5 T9 R23
C51 T3 R22
C54 T11 R25
C72 T14 R24
C68 T8 R18
C18 T27 R17

Timeslot 4:
C33 T25 R26
C24 T2 R29
C6 T17 R13
C12 T7 R8
C7 T29 R21
C46 T3 R14
C56 T11 R25
C69 T19 R2
C36 T24 R27
C48 T26 R12
C11 T15 R9

Timeslot 5:
C20 T3 R20
C3 T5 R21
C55 T8 R19
C16 T15 R29
C1 T17 R28
C31 T29 R23
C62 T1 R18
C22 T7 R4
C40 T25 R2
C29 T12 R7
C61 T11 R1
C30 T2 R3
C77 T19 R11
C17 T26 R13
C52 T13 R10


Executed time: 0.019194364547729492
