Timeslot use: 3

Timeslot 1:
C26 T8 R12
C13 T1 R6
C4 T4 R3
C6 T2 R8
C23 T5 R14
C15 T7 R9
C10 T10 R4
C16 T9 R7
C17 T11 R1
C1 T6 R11
C9 T3 R13

Timeslot 2:
C12 T3 R3
C25 T1 R1
C24 T2 R6
C5 T9 R8
C28 T7 R2
C3 T10 R5
C14 T4 R7
C8 T5 R4
C21 T11 R10
C11 T8 R9

Timeslot 3:
C20 T11 R13
C27 T7 R2
C29 T1 R14
C19 T9 R10
C30 T8 R5
C22 T6 R12
C7 T4 R11
C18 T5 R3
C2 T10 R1


Executed time: 0.002223491668701172
