Timeslot use: 3

Timeslot 1:
C41 T6 R17
C25 T18 R11
C42 T10 R14
C26 T15 R7
C37 T4 R8
C3 T20 R5
C39 T2 R15
C8 T9 R9
C47 T11 R3
C35 T14 R21
C33 T8 R19
C5 T5 R22
C38 T19 R23
C19 T16 R20
C30 T17 R18
C15 T7 R10
C10 T1 R4
C32 T13 R1

Timeslot 2:
C45 T1 R16
C13 T13 R12
C50 T11 R19
C28 T18 R15
C34 T8 R5
C4 T4 R9
C6 T19 R24
C31 T2 R3
C40 T6 R1
C7 T5 R13
C46 T15 R17
C49 T3 R2
C18 T7 R7
C11 T14 R8
C43 T16 R6
C20 T12 R20
C14 T10 R22
C36 T17 R14
C9 T9 R18

Timeslot 3:
C22 T5 R1
C23 T17 R16
C44 T16 R6
C16 T7 R13
C27 T6 R4
C1 T18 R23
C21 T15 R7
C48 T4 R20
C2 T9 R10
C12 T2 R18
C24 T8 R11
C51 T14 R24
C29 T3 R21
C17 T19 R12
C52 T10 R2


Executed time: 0.012613534927368164
