Timeslot use: 3

Timeslot 1:
C33 T10 R3
C20 T25 R25
C42 T16 R12
C43 T2 R19
C54 T24 R23
C28 T19 R4
C13 T12 R29
C4 T7 R15
C23 T6 R11
C59 T11 R2
C44 T8 R22
C47 T18 R7
C16 T20 R16
C1 T23 R5
C31 T28 R14
C50 T5 R1
C62 T27 R20
C27 T4 R10
C5 T3 R9
C63 T9 R6
C46 T15 R8
C49 T21 R21
C51 T29 R18
C11 T13 R17
C26 T1 R28
C57 T26 R24
C15 T14 R13
C17 T22 R27
C18 T17 R26

Timeslot 2:
C8 T23 R26
C55 T7 R20
C53 T9 R27
C2 T3 R15
C12 T22 R10
C38 T8 R29
C19 T16 R5
C61 T1 R1
C30 T25 R9
C32 T12 R25
C36 T11 R2
C48 T2 R23
C9 T14 R16

Timeslot 3:
C45 T1 R2
C25 T25 R18
C64 T27 R24
C37 T15 R19
C41 T6 R8
C3 T28 R16
C34 T5 R22
C6 T7 R14
C58 T11 R20
C39 T24 R3
C60 T13 R6
C35 T4 R21
C24 T10 R12
C21 T26 R11
C22 T18 R17
C40 T3 R25
C7 T20 R28
C56 T21 R1
C29 T2 R4
C14 T17 R13
C10 T14 R9
C52 T19 R23


Executed time: 0.011022329330444336
