Timeslot use: 3

Timeslot 1:
C25 T27 R27
C71 T18 R26
C42 T16 R24
C43 T19 R25
C54 T12 R23
C28 T14 R9
C13 T13 R6
C3 T5 R4
C23 T29 R17
C8 T4 R2
C44 T20 R28
C55 T26 R22
C60 T1 R12
C65 T15 R18
C53 T17 R13
C31 T22 R21
C33 T23 R8
C16 T28 R19
C70 T10 R5
C5 T3 R20
C7 T2 R7
C38 T11 R1
C49 T25 R15
C20 T9 R14
C15 T8 R11
C52 T7 R29

Timeslot 2:
C45 T20 R27
C58 T22 R26
C17 T13 R11
C35 T3 R28
C1 T24 R10
C21 T1 R13
C2 T5 R3
C22 T29 R16
C72 T19 R23
C40 T25 R1
C63 T6 R5
C56 T11 R2
C66 T2 R20
C19 T8 R7
C61 T7 R25
C30 T14 R6
C57 T4 R14
C67 T12 R29
C36 T23 R9
C48 T27 R4
C68 T26 R24
C9 T28 R22

Timeslot 3:
C41 T24 R21
C37 T17 R16
C26 T6 R7
C34 T16 R8
C6 T28 R3
C64 T10 R22
C39 T27 R25
C59 T2 R29
C47 T1 R27
C27 T7 R17
C4 T26 R11
C50 T11 R12
C62 T12 R24
C12 T29 R6
C24 T5 R4
C46 T25 R15
C69 T18 R23
C11 T8 R20
C29 T14 R10
C14 T13 R1
C10 T19 R2
C51 T3 R9
C32 T15 R18
C18 T21 R19


Executed time: 0.024372577667236328
