Timeslot use: 5

Timeslot 1:
C33 T5 R8
C25 T6 R5
C42 T4 R3
C16 T8 R2
C38 T9 R1
C28 T7 R9
C13 T2 R7
C4 T3 R4
C6 T1 R6

Timeslot 2:
C41 T6 R9
C10 T8 R7
C20 T2 R1
C15 T7 R2
C44 T9 R3
C5 T1 R4
C21 T3 R6
C27 T5 R5
C3 T4 R8

Timeslot 3:
C12 T2 R6
C23 T3 R9
C8 T1 R2
C24 T8 R4
C26 T9 R5
C35 T5 R8
C39 T6 R3
C34 T4 R1
C14 T7 R7

Timeslot 4:
C19 T2 R4
C30 T5 R8
C31 T9 R7
C40 T6 R3
C7 T3 R9
C11 T1 R1
C37 T4 R6
C18 T7 R2
C1 T8 R5

Timeslot 5:
C22 T3 R1
C32 T7 R8
C17 T2 R5
C36 T6 R4
C43 T5 R9
C9 T8 R2
C2 T1 R7
C29 T9 R3


Executed time: 0.003700733184814453
