Timeslot use: 6

Timeslot 1:
C45 T3 R7
C71 T7 R14
C13 T11 R10
C3 T10 R3
C34 T4 R11
C64 T2 R24
C53 T9 R15
C94 T19 R21
C69 T15 R6
C62 T6 R18
C22 T12 R12
C92 T8 R8
C49 T14 R2
C11 T16 R5
C66 T18 R1
C78 T5 R19
C48 T1 R20
C18 T17 R9

Timeslot 2:
C96 T2 R21
C25 T15 R4
C28 T14 R16
C89 T7 R18
C39 T17 R12
C59 T18 R17
C8 T4 R10
C55 T11 R5
C60 T1 R15
C1 T20 R9
C24 T3 R22
C5 T10 R3
C38 T12 R7
C81 T13 R23
C20 T16 R13
C57 T9 R6
C15 T6 R2
C88 T19 R8
C67 T5 R14

Timeslot 3:
C58 T8 R1
C54 T1 R22
C6 T3 R11
C86 T7 R17
C16 T16 R6
C2 T10 R9
C33 T14 R14
C12 T4 R13
C51 T11 R20
C75 T6 R15
C61 T18 R16
C30 T17 R24
C10 T12 R3
C80 T5 R18
C95 T2 R21
C68 T9 R2
C9 T15 R12

Timeslot 4:
C87 T2 R17
C42 T11 R15
C73 T14 R19
C23 T15 R20
C63 T4 R16
C76 T5 R5
C65 T9 R23
C27 T17 R2
C31 T16 R4
C40 T7 R13
C7 T10 R3
C46 T12 R6
C74 T6 R24
C36 T1 R7
C90 T8 R1

Timeslot 5:
C37 T12 R23
C43 T6 R9
C91 T19 R8
C82 T9 R22
C70 T18 R14
C44 T17 R11
C35 T15 R7
C83 T2 R21
C19 T3 R10
C72 T1 R20
C17 T10 R3
C52 T11 R4
C47 T16 R1

Timeslot 6:
C41 T14 R11
C50 T9 R16
C26 T3 R13
C4 T10 R9
C29 T4 R4
C21 T5 R10
C56 T18 R2
C84 T1 R17
C14 T19 R12
C32 T17 R22
C77 T12 R18
C93 T15 R5
C79 T7 R24
C85 T8 R23


Executed time: 0.038832902908325195
