Timeslot use: 4

Timeslot 1:
C20 T28 R26
C58 T14 R11
C50 T21 R1
C43 T16 R5
C34 T8 R7
C59 T29 R24
C91 T27 R23
C82 T10 R27
C53 T2 R3
C35 T7 R12
C31 T13 R4
C2 T26 R6
C16 T19 R15
C40 T12 R29
C56 T3 R16
C61 T5 R20
C49 T15 R13
C69 T9 R25
C81 T11 R9
C29 T18 R21
C14 T6 R22
C8 T25 R17
C48 T24 R14
C68 T1 R28

Timeslot 2:
C41 T16 R7
C25 T12 R9
C87 T5 R2
C37 T18 R11
C26 T6 R13
C54 T20 R3
C28 T8 R15
C13 T15 R29
C4 T22 R4
C64 T24 R18
C73 T29 R21
C76 T11 R19
C65 T7 R1
C86 T27 R26
C62 T9 R8
C12 T19 R16
C5 T25 R5
C7 T4 R6
C88 T17 R27
C66 T2 R28
C83 T26 R17
C77 T14 R20
C67 T1 R25
C79 T10 R10
C52 T21 R24
C18 T13 R22
C47 T3 R12

Timeslot 3:
C45 T21 R18
C3 T26 R29
C89 T5 R9
C6 T19 R6
C44 T11 R11
C55 T3 R23
C21 T1 R17
C75 T29 R21
C42 T16 R2
C33 T14 R10
C70 T6 R26
C39 T12 R12
C51 T2 R8
C19 T18 R28
C15 T13 R14
C10 T7 R22
C72 T8 R3
C32 T20 R15
C85 T27 R19
C9 T25 R20

Timeslot 4:
C71 T3 R10
C23 T22 R5
C57 T14 R24
C90 T17 R23
C60 T2 R13
C27 T8 R16
C1 T19 R22
C22 T18 R4
C17 T25 R1
C24 T12 R20
C38 T1 R18
C11 T26 R29
C92 T29 R27
C78 T10 R25
C74 T6 R8
C30 T9 R7
C63 T20 R3
C80 T15 R2
C36 T13 R28
C46 T7 R14
C84 T11 R19


Executed time: 0.03564620018005371
