Timeslot use: 4

Timeslot 1:
C25 T23 R20
C15 T16 R5
C13 T12 R17
C34 T25 R24
C23 T18 R22
C59 T22 R23
C44 T11 R29
C55 T8 R18
C82 T28 R4
C53 T26 R13
C35 T13 R16
C1 T9 R30
C31 T10 R15
C86 T1 R7
C2 T29 R10
C12 T19 R8
C70 T3 R21
C93 T14 R11
C92 T27 R25
C49 T21 R28
C100 T2 R9
C61 T7 R2
C57 T6 R1
C67 T20 R6
C36 T5 R14
C85 T4 R19
C18 T24 R26

Timeslot 2:
C45 T5 R2
C58 T16 R28
C43 T7 R24
C54 T11 R29
C3 T23 R30
C73 T28 R6
C71 T27 R21
C47 T10 R22
C60 T1 R16
C21 T19 R20
C95 T17 R25
C24 T9 R8
C5 T24 R9
C81 T3 R23
C69 T14 R4
C11 T22 R10
C78 T2 R17
C30 T18 R5
C8 T12 R13
C32 T29 R26
C77 T26 R19
C51 T25 R14
C87 T15 R7
C28 T21 R18

Timeslot 3:
C98 T17 R9
C37 T21 R5
C20 T7 R23
C99 T8 R25
C88 T28 R12
C89 T20 R28
C63 T18 R21
C16 T24 R2
C76 T29 R7
C65 T25 R22
C75 T2 R10
C52 T10 R29
C62 T26 R6
C27 T4 R8
C38 T19 R14
C84 T11 R4
C83 T3 R13
C29 T14 R15
C19 T12 R16
C10 T15 R20
C17 T9 R24
C48 T13 R18
C68 T27 R17
C9 T22 R30

Timeslot 4:
C41 T27 R6
C96 T17 R2
C50 T14 R20
C26 T23 R8
C6 T9 R5
C64 T16 R21
C91 T1 R28
C74 T7 R19
C94 T15 R4
C4 T19 R27
C42 T20 R14
C33 T13 R18
C22 T5 R24
C40 T25 R9
C7 T12 R30
C46 T3 R10
C56 T29 R13
C39 T11 R22
C66 T2 R29
C97 T26 R25
C14 T24 R16
C72 T18 R1
C80 T8 R23
C79 T4 R3
C90 T6 R7


Executed time: 0.041980743408203125
