Timeslot use: 3

Timeslot 1:
C45 T3 R1
C25 T10 R3
C42 T12 R2
C26 T16 R11
C13 T17 R7
C6 T4 R21
C23 T7 R20
C44 T8 R24
C16 T1 R13
C21 T9 R5
C33 T13 R8
C5 T15 R12
C7 T18 R6
C49 T5 R15
C11 T14 R9
C29 T2 R18
C15 T19 R22
C10 T11 R4
C54 T6 R23

Timeslot 2:
C20 T9 R9
C37 T13 R23
C43 T15 R14
C28 T2 R11
C3 T19 R19
C8 T14 R22
C47 T18 R4
C53 T5 R18
C35 T1 R10
C31 T12 R21
C52 T6 R24
C2 T17 R6
C50 T3 R17
C17 T16 R3
C24 T11 R16
C19 T4 R7
C32 T10 R20
C36 T7 R2
C48 T8 R1

Timeslot 3:
C41 T18 R7
C22 T14 R9
C18 T19 R22
C4 T17 R12
C34 T9 R1
C39 T8 R3
C55 T3 R18
C40 T2 R2
C1 T15 R6
C12 T16 R13
C27 T1 R5
C38 T12 R10
C56 T5 R20
C51 T6 R11
C46 T10 R24
C14 T11 R4
C30 T7 R23
C9 T4 R16


Executed time: 0.017182588577270508
