Timeslot use: 5

Timeslot 1:
C20 T5 R14
C71 T10 R20
C43 T12 R1
C54 T11 R22
C39 T18 R3
C57 T3 R11
C47 T14 R16
C16 T1 R2
C76 T15 R6
C65 T16 R17
C24 T17 R9
C33 T4 R13
C27 T2 R4
C7 T19 R23
C38 T8 R21
C69 T9 R5
C29 T6 R18
C10 T13 R12
C80 T7 R8

Timeslot 2:
C58 T17 R5
C13 T13 R24
C3 T20 R2
C73 T9 R20
C44 T12 R8
C60 T16 R3
C53 T3 R11
C35 T14 R18
C6 T4 R12
C75 T15 R19
C50 T10 R14
C70 T2 R17
C49 T11 R6
C78 T7 R15
C14 T1 R23
C30 T18 R21
C15 T6 R7
C32 T5 R10
C28 T8 R4

Timeslot 3:
C25 T10 R23
C4 T16 R11
C8 T18 R22
C1 T14 R24
C21 T4 R2
C62 T7 R6
C40 T19 R9
C11 T5 R7
C26 T8 R1
C74 T15 R15
C72 T9 R10
C67 T3 R18
C48 T1 R21
C68 T12 R17
C9 T13 R12

Timeslot 4:
C41 T6 R13
C22 T9 R2
C64 T17 R22
C23 T10 R7
C55 T14 R14
C2 T20 R24
C12 T1 R4
C5 T13 R18
C56 T12 R11
C66 T8 R3
C19 T16 R20
C61 T3 R1
C63 T11 R10
C36 T19 R9

Timeslot 5:
C45 T18 R6
C42 T19 R3
C37 T13 R9
C34 T12 R23
C59 T11 R1
C17 T4 R12
C31 T5 R4
C46 T6 R7
C51 T17 R22
C77 T7 R10
C79 T15 R20
C52 T14 R21
C18 T1 R24


Executed time: 0.020647525787353516
