Timeslot use: 5

Timeslot 1:
C19 T4 R14
C3 T6 R2
C2 T9 R17
C71 T5 R23
C57 T7 R24
C63 T2 R9
C21 T14 R13
C12 T1 R5
C42 T19 R18
C32 T15 R10
C31 T10 R6
C54 T13 R20
C4 T8 R12
C52 T17 R3
C70 T3 R8
C47 T18 R7
C7 T12 R19
C62 T11 R16

Timeslot 2:
C35 T1 R4
C49 T4 R11
C15 T6 R2
C30 T9 R10
C75 T17 R1
C28 T14 R5
C66 T3 R24
C58 T13 R8
C50 T2 R22
C65 T5 R7
C60 T7 R23
C22 T8 R19
C39 T15 R9
C44 T19 R3
C11 T18 R17
C33 T12 R13
C67 T16 R15

Timeslot 3:
C46 T7 R4
C53 T4 R20
C23 T6 R5
C69 T3 R23
C10 T11 R11
C29 T18 R21
C18 T15 R2
C1 T8 R24
C41 T19 R18
C5 T9 R19
C14 T1 R12
C26 T14 R10
C55 T12 R16
C27 T5 R14
C64 T2 R8

Timeslot 4:
C68 T3 R16
C38 T2 R3
C24 T1 R7
C8 T9 R15
C6 T8 R17
C20 T13 R14
C74 T7 R20
C34 T14 R22
C17 T18 R6
C59 T4 R21
C45 T19 R18
C73 T5 R4
C76 T16 R1
C16 T6 R19

Timeslot 5:
C13 T6 R6
C9 T8 R12
C25 T9 R13
C72 T17 R15
C56 T13 R22
C61 T10 R9
C36 T15 R11
C37 T12 R21
C51 T5 R8
C43 T1 R2
C48 T2 R1
C40 T7 R10


Executed time: 0.026145219802856445
