Timeslot use: 4

Timeslot 1:
C19 T29 R23
C77 T14 R15
C92 T6 R29
C38 T25 R8
C71 T23 R7
C75 T1 R14
C24 T8 R2
C28 T17 R18
C87 T13 R17
C12 T11 R19
C58 T20 R25
C3 T7 R26
C72 T16 R20
C63 T15 R21
C18 T28 R22
C83 T5 R3
C1 T22 R16
C56 T10 R24
C36 T4 R1
C81 T21 R11
C88 T24 R27
C47 T2 R28
C37 T9 R13
C51 T26 R6
C14 T18 R4
C50 T19 R10
C67 T12 R5
C62 T27 R9
C7 T3 R12

Timeslot 2:
C15 T2 R2
C89 T14 R25
C46 T21 R10
C59 T15 R29
C57 T1 R4
C21 T3 R16
C41 T16 R13
C4 T13 R14
C22 T8 R18
C8 T19 R21
C32 T6 R15
C10 T17 R26
C31 T4 R11
C29 T29 R8
C65 T9 R3
C60 T18 R24
C44 T22 R9
C64 T10 R22
C74 T28 R12
C39 T27 R5
C53 T12 R20
C5 T25 R28
C11 T11 R19
C90 T23 R27
C42 T26 R23
C86 T5 R17
C43 T20 R7
C48 T24 R6
C27 T7 R1

Timeslot 3:
C35 T8 R6
C85 T13 R29
C49 T2 R4
C84 T5 R5
C13 T3 R26
C9 T1 R18
C79 T6 R20
C80 T14 R15
C66 T22 R24
C23 T25 R16
C69 T28 R12
C25 T27 R28
C6 T10 R7
C54 T29 R21
C2 T11 R19
C20 T7 R3
C61 T23 R13
C30 T20 R2
C52 T12 R27
C70 T24 R8
C82 T9 R14
C26 T17 R23
C78 T21 R22
C45 T15 R9
C33 T26 R1
C91 T16 R25
C73 T19 R10
C76 T18 R17
C16 T4 R11

Timeslot 4:
C34 T20 R19
C17 T3 R2
C68 T8 R15
C55 T16 R7
C40 T25 R1


Executed time: 0.039708852767944336
