Timeslot use: 3

Timeslot 1:
C19 T18 R19
C15 T13 R21
C30 T19 R7
C13 T14 R13
C46 T9 R15
C25 T12 R17
C50 T15 R20
C10 T10 R5
C31 T4 R22
C6 T3 R9
C18 T6 R11
C1 T20 R25
C26 T7 R24
C37 T8 R14
C51 T1 R3
C17 T11 R6
C42 T17 R10
C40 T5 R2

Timeslot 2:
C35 T12 R2
C24 T9 R20
C28 T4 R7
C23 T18 R22
C32 T10 R11
C2 T3 R21
C44 T19 R18
C48 T15 R5
C36 T8 R1
C20 T2 R6
C9 T13 R19
C41 T17 R23
C7 T11 R16
C5 T14 R4
C11 T6 R12
C33 T7 R3
C45 T1 R8

Timeslot 3:
C49 T5 R15
C3 T11 R23
C38 T8 R8
C21 T4 R16
C4 T3 R4
C12 T6 R13
C8 T15 R18
C29 T17 R1
C52 T12 R10
C34 T14 R24
C47 T9 R12
C22 T18 R9
C39 T1 R17
C14 T13 R14
C43 T19 R3
C16 T7 R19
C27 T16 R7


Executed time: 0.011873483657836914
