Timeslot use: 3

Timeslot 1:
C3 T28 R30
C84 T10 R1
C63 T29 R14
C66 T24 R21
C23 T16 R13
C22 T23 R18
C50 T14 R27
C8 T26 R6
C31 T19 R10
C2 T4 R28
C60 T12 R15
C20 T27 R26
C61 T5 R20
C83 T7 R8
C65 T6 R5
C56 T25 R12
C82 T1 R19
C36 T3 R2
C26 T2 R25
C47 T17 R11
C37 T8 R17
C41 T21 R29
C78 T20 R3
C7 T11 R9
C67 T9 R16
C17 T18 R22
C4 T22 R7
C62 T13 R23
C45 T15 R24

Timeslot 2:
C19 T18 R15
C77 T6 R27
C55 T13 R29
C71 T5 R19
C9 T26 R30
C51 T20 R14
C24 T4 R26
C21 T25 R23
C80 T12 R3
C12 T15 R28
C69 T1 R16
C42 T29 R11
C72 T10 R22
C10 T7 R9
C29 T8 R25
C6 T16 R18
C54 T14 R21
C44 T28 R17
C52 T9 R12
C81 T19 R8
C34 T22 R10
C53 T21 R2
C68 T24 R1
C39 T23 R5
C14 T11 R13
C64 T3 R24
C43 T17 R20
C16 T2 R7
C32 T27 R6

Timeslot 3:
C35 T2 R11
C38 T8 R26
C30 T27 R1
C15 T22 R16
C79 T9 R3
C57 T7 R15
C28 T14 R10
C49 T15 R20
C59 T29 R19
C58 T13 R17
C70 T17 R7
C25 T23 R29
C18 T11 R18
C74 T12 R25
C1 T4 R30
C13 T18 R9
C46 T20 R13
C5 T26 R23
C11 T16 R28
C33 T3 R21
C27 T6 R6
C75 T25 R5
C73 T5 R27
C76 T21 R22
C48 T28 R12
C40 T10 R2


Executed time: 0.026187658309936523
