Timeslot use: 8

Timeslot 1:
C19 T9 R8
C49 T13 R24
C38 T17 R22
C12 T11 R16
C31 T2 R23
C65 T8 R18
C44 T16 R12
C61 T7 R1
C18 T10 R3
C89 T1 R20
C88 T19 R19
C37 T6 R4
C53 T4 R2
C78 T15 R17
C33 T3 R14
C67 T5 R9
C7 T20 R13

Timeslot 2:
C77 T14 R15
C15 T20 R18
C92 T8 R5
C28 T3 R21
C4 T13 R25
C10 T4 R10
C25 T10 R12
C63 T7 R11
C74 T1 R17
C79 T5 R19
C14 T18 R16
C96 T6 R6
C76 T2 R24
C45 T9 R14
C72 T12 R1

Timeslot 3:
C9 T20 R10
C87 T8 R20
C69 T2 R11
C8 T9 R13
C23 T10 R9
C36 T3 R14
C34 T18 R2
C41 T13 R22
C50 T7 R7
C75 T6 R1
C93 T5 R17

Timeslot 4:
C35 T3 R23
C84 T8 R5
C80 T2 R19
C22 T15 R13
C6 T10 R12
C56 T6 R4
C51 T7 R7
C5 T20 R21
C94 T5 R20
C27 T9 R3

Timeslot 5:
C85 T5 R19
C30 T9 R22
C71 T7 R8
C83 T8 R11
C70 T3 R2
C42 T18 R15
C26 T10 R3
C59 T2 R6
C11 T20 R16
C73 T6 R17
C55 T13 R14

Timeslot 6:
C57 T7 R22
C24 T9 R7
C66 T8 R16
C1 T20 R25
C32 T10 R23
C60 T11 R18
C20 T3 R5
C95 T5 R9
C90 T6 R1
C86 T2 R20
C48 T13 R10
C40 T4 R4

Timeslot 7:
C91 T5 R21
C3 T6 R13
C54 T2 R23
C2 T13 R6
C64 T1 R11
C82 T3 R4
C17 T10 R15
C39 T7 R8
C62 T9 R2
C16 T20 R10

Timeslot 8:
C13 T20 R21
C46 T6 R7
C21 T9 R3
C58 T7 R18
C29 T10 R12
C68 T8 R5
C52 T13 R6
C47 T5 R15
C43 T2 R8
C81 T3 R24


Executed time: 0.05367898941040039
