Timeslot use: 4

Timeslot 1:
C19 T7 R3
C3 T20 R25
C38 T2 R17
C59 T5 R19
C24 T1 R23
C21 T18 R10
C4 T17 R16
C12 T19 R11
C58 T16 R6
C10 T4 R18
C31 T9 R24
C44 T14 R20
C52 T3 R2
C34 T15 R1
C53 T11 R14
C57 T10 R5
C7 T8 R8
C27 T6 R21

Timeslot 2:
C35 T19 R1
C28 T15 R9
C49 T3 R11
C22 T6 R14
C50 T13 R12
C32 T17 R2
C29 T7 R15
C6 T8 R17
C2 T12 R25
C54 T16 R5
C1 T18 R21
C47 T9 R19
C41 T5 R7
C16 T4 R10
C46 T11 R20
C48 T2 R13

Timeslot 3:
C13 T18 R18
C15 T12 R15
C9 T6 R4
C42 T13 R13
C60 T9 R6
C18 T8 R3
C56 T5 R12
C26 T14 R8
C37 T19 R10
C17 T4 R7
C5 T1 R25
C39 T10 R22
C55 T16 R20

Timeslot 4:
C30 T7 R23
C23 T6 R9
C8 T3 R3
C25 T12 R24
C20 T11 R21
C36 T4 R8
C51 T13 R17
C11 T1 R18
C14 T15 R1
C33 T17 R16
C43 T14 R4
C45 T10 R2
C40 T2 R15


Executed time: 0.01747894287109375
