Timeslot use: 4

Timeslot 1:
C19 T6 R20
C77 T13 R5
C15 T27 R13
C84 T26 R6
C89 T19 R18
C9 T12 R30
C94 T8 R2
C92 T9 R7
C49 T17 R19
C4 T1 R21
C12 T14 R11
C50 T25 R10
C42 T21 R16
C72 T20 R26
C10 T4 R8
C31 T7 R17
C65 T3 R22
C60 T10 R3
C44 T11 R4
C1 T16 R29
C88 T23 R28
C37 T5 R15
C78 T18 R23
C33 T24 R25
C67 T22 R24
C96 T15 R9
C76 T29 R27
C40 T28 R1

Timeslot 2:
C35 T3 R24
C85 T8 R2
C46 T6 R15
C79 T9 R12
C24 T16 R8
C28 T21 R26
C83 T13 R20
C23 T7 R21
C8 T12 R1
C2 T30 R22
C20 T24 R11
C61 T25 R27
C68 T29 R7
C22 T5 R13
C74 T20 R10
C56 T23 R28
C39 T4 R14
C59 T10 R25
C7 T14 R18
C11 T27 R6
C69 T28 R19
C51 T11 R16
C62 T2 R29
C16 T18 R17

Timeslot 3:
C3 T12 R8
C13 T21 R16
C91 T20 R20
C57 T10 R1
C32 T14 R19
C25 T4 R13
C54 T3 R10
C95 T8 R18
C18 T15 R11
C82 T23 R28
C81 T25 R5
C26 T7 R29
C71 T1 R15
C53 T28 R2
C34 T5 R21
C17 T24 R17
C14 T26 R23
C90 T29 R6
C73 T6 R7
C86 T16 R24
C43 T9 R14
C48 T18 R4
C64 T13 R22

Timeslot 4:
C52 T11 R10
C38 T28 R13
C75 T6 R20
C21 T21 R26
C80 T9 R5
C66 T10 R15
C58 T18 R8
C93 T8 R7
C29 T14 R22
C6 T24 R1
C30 T16 R21
C63 T25 R16
C70 T3 R17
C36 T7 R4
C47 T13 R23
C41 T4 R14
C5 T12 R27
C87 T23 R25
C55 T29 R28
C45 T20 R19
C27 T5 R11


Executed time: 0.029584646224975586
