Timeslot use: 3

Timeslot 1:
C19 T2 R5
C1 T9 R1
C30 T6 R3
C26 T7 R9
C24 T3 R6
C28 T8 R7
C21 T1 R11
C12 T10 R12
C5 T11 R2
C25 T5 R13
C6 T4 R4

Timeslot 2:
C18 T8 R3
C3 T5 R8
C13 T4 R9
C23 T7 R2
C9 T9 R14
C16 T6 R1
C8 T2 R12
C15 T11 R5
C2 T3 R10
C20 T10 R13

Timeslot 3:
C17 T2 R11
C4 T8 R4
C22 T1 R7
C14 T9 R6
C10 T6 R10
C11 T4 R8
C29 T11 R1
C7 T5 R14
C27 T3 R3


Executed time: 0.0024557113647460938
