Timeslot use: 4

Timeslot 1:
C35 T1 R2
C19 T4 R3
C38 T9 R20
C30 T5 R7
C41 T20 R12
C21 T13 R26
C4 T2 R10
C12 T26 R11
C59 T17 R19
C50 T24 R21
C42 T11 R17
C72 T23 R8
C15 T29 R28
C60 T7 R13
C61 T10 R1
C39 T21 R16
C34 T19 R27
C53 T8 R15
C9 T25 R30
C76 T16 R22

Timeslot 2:
C3 T28 R30
C13 T13 R20
C46 T25 R1
C70 T15 R8
C8 T2 R2
C31 T22 R7
C25 T17 R12
C65 T5 R26
C20 T16 R25
C18 T9 R28
C48 T24 R22
C56 T6 R15
C36 T18 R21
C37 T20 R17
C58 T11 R3
C57 T4 R19
C7 T7 R11
C67 T14 R10
C45 T21 R16
C27 T12 R18

Timeslot 3:
C71 T23 R15
C63 T10 R1
C28 T28 R12
C66 T18 R7
C23 T19 R21
C49 T25 R18
C32 T2 R10
C10 T6 R11
C2 T29 R30
C44 T14 R3
C64 T3 R19
C74 T27 R8
C47 T12 R26
C17 T9 R28
C5 T26 R22
C11 T13 R13
C29 T22 R2
C43 T8 R20

Timeslot 4:
C55 T14 R26
C75 T15 R20
C24 T3 R29
C22 T6 R28
C6 T26 R5
C54 T27 R15
C52 T12 R16
C1 T11 R30
C26 T4 R21
C51 T28 R8
C68 T16 R1
C14 T29 R12
C69 T23 R19
C33 T1 R2
C73 T21 R3
C62 T8 R22
C16 T19 R11
C40 T20 R7


Executed time: 0.028049230575561523
