Timeslot use: 3

Timeslot 1:
C35 T1 R2
C19 T16 R8
C49 T20 R19
C57 T28 R7
C38 T22 R6
C13 T25 R12
C24 T13 R10
C21 T21 R21
C4 T29 R13
C58 T19 R20
C42 T4 R11
C32 T17 R29
C22 T11 R26
C54 T15 R23
C18 T27 R16
C12 T7 R18
C1 T26 R3
C56 T5 R22
C52 T14 R28
C36 T18 R9
C26 T3 R1
C47 T24 R27
C37 T23 R4
C41 T9 R14
C33 T6 R5
C51 T12 R25
C62 T8 R15

Timeslot 2:
C15 T15 R21
C8 T25 R26
C10 T17 R17
C6 T21 R3
C25 T27 R12
C23 T3 R13
C60 T19 R22
C44 T14 R29
C61 T5 R23
C64 T8 R15
C2 T12 R4
C55 T24 R5
C17 T16 R24
C7 T26 R9
C40 T23 R19
C43 T6 R8
C16 T7 R1
C27 T1 R2

Timeslot 3:
C3 T6 R15
C30 T25 R19
C46 T28 R26
C63 T9 R20
C50 T13 R25
C31 T11 R28
C29 T10 R11
C20 T18 R24
C39 T1 R14
C9 T7 R17
C34 T16 R6
C53 T8 R7
C48 T22 R27
C5 T29 R3
C11 T21 R18
C14 T2 R1
C59 T20 R10
C28 T4 R16
C45 T23 R8


Executed time: 0.019044160842895508
