Timeslot use: 4

Timeslot 1:
C19 T9 R15
C49 T16 R1
C3 T10 R4
C13 T19 R7
C24 T17 R21
C50 T14 R16
C42 T7 R12
C32 T3 R11
C10 T2 R20
C54 T1 R6
C26 T13 R19
C47 T6 R23
C41 T15 R24
C44 T5 R8
C55 T8 R17
C7 T11 R22

Timeslot 2:
C35 T3 R5
C4 T16 R9
C21 T6 R21
C31 T17 R10
C29 T9 R19
C6 T2 R22
C23 T18 R18
C22 T1 R23
C1 T12 R13
C17 T13 R14
C51 T7 R20
C48 T4 R8
C14 T10 R7
C33 T15 R15
C45 T14 R2

Timeslot 3:
C38 T8 R11
C46 T7 R2
C25 T15 R9
C20 T18 R14
C18 T4 R7
C2 T12 R24
C56 T5 R6
C52 T6 R5
C36 T1 R12
C34 T16 R8
C37 T14 R1
C5 T17 R10
C11 T19 R15
C28 T10 R16
C16 T3 R21

Timeslot 4:
C15 T4 R10
C30 T13 R17
C9 T8 R13
C12 T9 R18
C53 T2 R3
C39 T12 R4
C40 T3 R19
C8 T19 R22
C43 T5 R1
C27 T18 R20


Executed time: 0.015863656997680664
