Timeslot use: 3

Timeslot 1:
C64 T5 R15
C49 T9 R6
C15 T23 R5
C30 T28 R13
C13 T20 R22
C9 T10 R2
C59 T2 R14
C24 T7 R16
C66 T25 R26
C23 T4 R23
C12 T13 R7
C50 T3 R3
C32 T14 R4
C10 T29 R11
C31 T11 R25
C68 T19 R1
C60 T15 R28
C18 T8 R17
C22 T18 R9
C1 T27 R8
C26 T17 R24
C47 T12 R12
C37 T24 R29
C41 T22 R18
C57 T26 R21
C17 T16 R27
C33 T1 R20
C62 T6 R19

Timeslot 2:
C19 T6 R23
C3 T28 R17
C38 T8 R20
C46 T9 R22
C51 T2 R29
C28 T20 R13
C21 T25 R5
C4 T10 R8
C58 T15 R11
C8 T27 R4
C29 T29 R24
C25 T11 R18
C54 T21 R21
C2 T22 R6
C44 T7 R9
C61 T18 R2
C63 T3 R14
C65 T5 R26
C56 T12 R12
C52 T24 R28
C36 T23 R19
C53 T17 R10
C20 T14 R27
C39 T19 R1
C67 T26 R15
C55 T1 R7
C7 T13 R25
C27 T16 R3

Timeslot 3:
C35 T4 R1
C42 T28 R13
C6 T14 R8
C48 T16 R10
C34 T8 R7
C16 T13 R18
C5 T10 R5
C11 T20 R17
C14 T6 R20
C43 T9 R21
C45 T21 R3
C40 T23 R23


Executed time: 0.011325597763061523
