Timeslot use: 3

Timeslot 1:
C19 T16 R3
C3 T9 R6
C38 T26 R17
C30 T24 R4
C13 T14 R21
C15 T4 R9
C79 T8 R20
C24 T11 R25
C28 T21 R10
C21 T15 R13
C23 T12 R24
C58 T22 R14
C72 T3 R12
C31 T29 R29
C6 T5 R8
C60 T17 R5
C20 T7 R27
C61 T10 R2
C1 T13 R28
C26 T19 R26
C37 T20 R1
C59 T28 R22
C78 T1 R15
C68 T25 R16
C14 T18 R23
C33 T23 R7
C67 T6 R11
C7 T27 R18
C27 T2 R19

Timeslot 2:
C77 T6 R4
C2 T14 R25
C70 T24 R17
C71 T10 R12
C9 T13 R29
C51 T20 R11
C63 T29 R20
C49 T7 R18
C80 T5 R26
C12 T11 R9
C69 T27 R22
C42 T4 R5
C32 T28 R24
C10 T18 R1
C54 T21 R28
C4 T2 R23
C44 T16 R19
C22 T19 R6
C74 T8 R3
C65 T1 R15
C56 T9 R10
C47 T26 R16
C17 T15 R13
C53 T17 R27
C46 T25 R7
C55 T23 R21
C16 T22 R8

Timeslot 3:
C35 T1 R10
C62 T28 R16
C75 T3 R17
C57 T20 R28
C66 T2 R2
C50 T7 R5
C8 T16 R29
C29 T18 R21
C25 T23 R1
C18 T15 R23
C52 T29 R19
C36 T22 R3
C39 T9 R8
C34 T14 R25
C41 T4 R14
C48 T6 R7
C5 T13 R24
C11 T21 R18
C73 T11 R26
C76 T8 R22
C43 T5 R9
C45 T25 R13
C40 T10 R6
C64 T12 R15


Executed time: 0.01989603042602539
