Timeslot use: 4

Timeslot 1:
C35 T1 R6
C49 T9 R11
C7 T6 R22
C13 T15 R24
C46 T2 R2
C28 T13 R7
C23 T18 R3
C10 T8 R8
C15 T4 R9
C20 T17 R16
C18 T5 R13
C36 T12 R14
C26 T14 R5
C47 T7 R15
C41 T19 R12
C48 T16 R1
C39 T10 R10
C55 T3 R4
C45 T11 R17

Timeslot 2:
C19 T8 R20
C9 T15 R24
C57 T16 R23
C63 T5 R17
C66 T9 R10
C4 T17 R21
C50 T13 R11
C42 T11 R1
C32 T1 R3
C60 T12 R19
C61 T3 R14
C12 T19 R16
C1 T14 R8
C31 T6 R18
C27 T2 R5

Timeslot 3:
C3 T14 R9
C53 T10 R7
C24 T2 R4
C22 T15 R5
C58 T3 R14
C29 T19 R15
C6 T11 R13
C64 T1 R6
C37 T13 R20
C51 T6 R16
C17 T5 R22
C5 T8 R18
C11 T17 R12
C33 T18 R21
C67 T12 R1
C62 T4 R19
C40 T9 R11

Timeslot 4:
C38 T6 R15
C21 T18 R22
C8 T8 R13
C25 T17 R4
C2 T14 R9
C44 T9 R17
C54 T4 R12
C30 T5 R23
C52 T12 R7
C65 T13 R20
C56 T10 R19
C34 T16 R3
C59 T3 R18
C68 T2 R10
C14 T15 R24
C43 T1 R21
C16 T19 R8


Executed time: 0.0182952880859375
