Timeslot use: 5

Timeslot 1:
C77 T4 R21
C3 T1 R13
C30 T12 R14
C71 T19 R20
C9 T5 R25
C4 T20 R6
C12 T13 R16
C65 T14 R11
C61 T8 R3
C64 T15 R19
C34 T3 R22
C23 T2 R12
C59 T6 R15
C5 T18 R5
C14 T7 R4
C33 T16 R17
C26 T9 R7
C76 T17 R10
C40 T10 R8

Timeslot 2:
C35 T2 R7
C19 T12 R6
C38 T9 R8
C46 T16 R20
C79 T15 R22
C28 T11 R15
C66 T10 R2
C21 T14 R13
C58 T19 R18
C69 T1 R11
C72 T8 R1
C29 T18 R12
C1 T4 R25
C81 T5 R3
C37 T13 R16
C51 T6 R14
C78 T7 R10

Timeslot 3:
C13 T18 R14
C84 T7 R15
C75 T3 R10
C63 T19 R8
C49 T6 R11
C80 T4 R1
C31 T1 R7
C25 T16 R17
C54 T14 R3
C2 T8 R13
C20 T11 R18
C18 T2 R6
C83 T17 R21
C52 T10 R2
C47 T9 R16
C41 T15 R12
C11 T13 R5
C55 T12 R20
C7 T20 R25

Timeslot 4:
C15 T18 R13
C24 T11 R17
C42 T9 R8
C32 T1 R12
C10 T13 R25
C60 T6 R15
C44 T16 R20
C74 T19 R10
C70 T7 R1
C56 T4 R11
C17 T15 R6
C53 T10 R3
C57 T3 R21
C68 T8 R22
C43 T12 R14
C48 T5 R18
C27 T2 R7

Timeslot 5:
C22 T12 R8
C50 T2 R20
C8 T13 R3
C6 T20 R25
C82 T5 R1
C36 T1 R22
C16 T18 R13
C39 T14 R17
C67 T10 R21
C73 T6 R15
C62 T11 R18
C45 T9 R16


Executed time: 0.03061389923095703
