Timeslot use: 4

Timeslot 1:
C35 T12 R8
C77 T10 R4
C3 T16 R11
C15 T19 R24
C30 T22 R29
C9 T13 R10
C79 T2 R23
C49 T24 R21
C80 T1 R12
C12 T17 R6
C65 T6 R9
C50 T28 R5
C42 T9 R3
C70 T11 R19
C4 T14 R20
C44 T29 R13
C18 T8 R25
C74 T26 R7
C1 T30 R28
C21 T25 R27
C43 T15 R1
C51 T7 R2
C11 T4 R18
C33 T18 R22
C67 T20 R17
C8 T27 R15
C62 T5 R14
C45 T21 R16

Timeslot 2:
C13 T14 R11
C85 T10 R27
C46 T12 R16
C57 T18 R1
C24 T7 R22
C63 T13 R14
C66 T29 R9
C23 T23 R17
C22 T5 R28
C31 T21 R18
C25 T25 R25
C54 T19 R8
C2 T27 R10
C61 T6 R24
C68 T24 R15
C52 T17 R3
C83 T2 R5
C82 T8 R7
C60 T20 R19
C17 T16 R6
C78 T11 R26
C20 T4 R21
C26 T28 R12
C73 T1 R13
C86 T3 R23
C27 T15 R20

Timeslot 3:
C19 T22 R5
C38 T6 R25
C84 T26 R4
C71 T2 R12
C41 T29 R20
C10 T17 R15
C72 T24 R27
C6 T30 R10
C64 T19 R3
C56 T28 R19
C36 T23 R16
C81 T9 R22
C37 T13 R1
C53 T8 R8
C5 T14 R29
C39 T21 R6
C14 T5 R11
C87 T3 R13
C76 T15 R23
C7 T4 R28
C40 T18 R17

Timeslot 4:
C34 T7 R1
C69 T26 R15
C29 T27 R20
C88 T3 R4
C47 T25 R18
C59 T20 R3
C58 T12 R9
C48 T10 R24
C75 T1 R7
C28 T23 R6
C55 T9 R8
C16 T16 R21
C32 T22 R29


Executed time: 0.032935142517089844
