Timeslot use: 3

Timeslot 1:
C62 T1 R7
C6 T9 R1
C13 T5 R23
C18 T25 R6
C61 T28 R25
C9 T11 R24
C2 T26 R26
C24 T16 R18
C27 T12 R22
C56 T23 R12
C44 T21 R19
C38 T29 R9
C41 T6 R2
C14 T4 R27
C31 T10 R17
C69 T19 R15
C59 T22 R11
C12 T7 R20
C36 T18 R3
C72 T24 R14
C52 T17 R4
C53 T3 R5
C8 T8 R8
C42 T15 R28
C70 T27 R13
C58 T2 R10
C21 T13 R29
C74 T20 R16
C67 T14 R21

Timeslot 2:
C43 T29 R9
C11 T4 R20
C20 T11 R14
C68 T27 R29
C63 T14 R21
C37 T10 R11
C16 T7 R2
C75 T24 R7
C51 T5 R24
C7 T26 R23
C54 T1 R4
C40 T3 R28
C66 T17 R5
C73 T15 R16
C32 T6 R19
C17 T20 R3
C46 T2 R10
C4 T8 R27
C47 T12 R6
C3 T13 R26
C35 T19 R15
C45 T16 R12
C5 T18 R1
C19 T25 R18
C23 T9 R22
C1 T22 R8
C76 T28 R25
C48 T23 R13

Timeslot 3:
C34 T2 R15
C22 T26 R14
C60 T21 R13
C50 T1 R1
C39 T28 R26
C33 T29 R19
C64 T9 R25
C57 T11 R6
C30 T12 R20
C26 T13 R18
C65 T27 R17
C15 T5 R8
C10 T18 R23
C25 T25 R27
C28 T10 R24
C55 T23 R2
C49 T16 R12
C71 T19 R10
C29 T22 R9


Executed time: 0.02311420440673828
