Timeslot use: 7

Timeslot 1:
C57 T10 R23
C61 T9 R10
C24 T12 R5
C38 T15 R11
C45 T7 R20
C77 T8 R9
C60 T4 R6
C14 T6 R21
C66 T19 R12
C4 T2 R22
C58 T14 R19
C3 T16 R7
C20 T18 R13
C59 T3 R3
C19 T5 R17
C47 T13 R16
C89 T11 R14

Timeslot 2:
C62 T10 R1
C11 T12 R5
C2 T2 R7
C27 T7 R21
C83 T4 R16
C63 T11 R12
C54 T15 R4
C40 T16 R17
C72 T13 R9
C39 T6 R20
C35 T3 R11
C70 T9 R8
C53 T8 R2
C30 T5 R13
C15 T18 R10
C69 T14 R3
C91 T19 R14

Timeslot 3:
C5 T2 R11
C34 T7 R19
C65 T3 R12
C92 T11 R23
C13 T4 R7
C41 T12 R4
C90 T19 R6
C16 T18 R5
C87 T10 R9
C73 T17 R1
C85 T13 R24
C52 T8 R18
C64 T9 R3
C26 T5 R21
C74 T16 R14

Timeslot 4:
C71 T16 R15
C80 T11 R1
C68 T9 R12
C22 T12 R2
C86 T4 R23
C36 T19 R20
C95 T1 R24
C32 T5 R17
C7 T2 R13
C78 T13 R18
C46 T15 R4
C33 T3 R10
C49 T10 R8
C29 T18 R21

Timeslot 5:
C81 T4 R2
C9 T12 R22
C10 T2 R7
C84 T17 R23
C96 T8 R24
C18 T5 R19
C31 T7 R20
C51 T3 R3
C17 T18 R5
C88 T16 R18
C82 T19 R14
C76 T9 R16
C55 T10 R15

Timeslot 6:
C6 T7 R22
C94 T11 R24
C43 T3 R19
C37 T10 R13
C8 T2 R15
C67 T13 R9
C44 T5 R6
C93 T9 R2
C25 T18 R10
C56 T16 R8

Timeslot 7:
C21 T18 R17
C79 T4 R1
C75 T8 R6
C12 T12 R22
C50 T19 R18
C42 T6 R4
C23 T7 R15
C1 T2 R25
C28 T16 R8
C48 T10 R11


Executed time: 0.04864764213562012
