Timeslot use: 5

Timeslot 1:
C62 T5 R1
C18 T7 R19
C61 T9 R6
C60 T11 R18
C24 T3 R12
C41 T4 R11
C37 T18 R7
C75 T8 R10
C51 T17 R8
C14 T16 R23
C31 T2 R4
C66 T6 R21
C46 T1 R2
C52 T10 R5
C11 T12 R20
C3 T19 R15
C59 T13 R17
C40 T15 R9
C10 T14 R3

Timeslot 2:
C5 T16 R5
C2 T3 R15
C63 T6 R16
C56 T4 R13
C74 T8 R12
C38 T7 R21
C7 T17 R17
C12 T13 R8
C32 T18 R11
C39 T19 R1
C4 T14 R3
C42 T11 R9
C26 T15 R19
C1 T20 R6
C76 T9 R18
C22 T12 R4
C49 T2 R24
C71 T10 R10
C43 T1 R23

Timeslot 3:
C6 T16 R15
C21 T14 R1
C34 T9 R23
C9 T13 R22
C68 T4 R18
C16 T15 R14
C54 T18 R13
C67 T5 R10
C72 T6 R24
C44 T10 R5
C8 T3 R3
C23 T7 R16
C47 T11 R2
C64 T8 R11
C55 T1 R12

Timeslot 4:
C20 T15 R14
C69 T5 R12
C73 T17 R6
C53 T9 R19
C50 T1 R21
C17 T12 R13
C33 T13 R20
C58 T6 R24
C45 T10 R7
C57 T11 R22
C28 T19 R3

Timeslot 5:
C13 T19 R4
C65 T5 R22
C29 T1 R7
C27 T12 R8
C36 T14 R16
C25 T16 R13
C35 T3 R14
C70 T4 R2
C30 T8 R9
C19 T2 R20
C15 T17 R17
C48 T7 R15


Executed time: 0.026447296142578125
