Timeslot use: 11

Timeslot 1:
C61 T26 R10
C100 T25 R26
C3 T1 R15
C80 T9 R29
C38 T6 R12
C94 T18 R25
C17 T19 R18
C39 T15 R17
C70 T5 R24
C26 T29 R1
C20 T11 R27

Timeslot 2:
C62 T2 R12
C21 T10 R1
C2 T27 R23
C95 T25 R26
C16 T19 R15
C52 T14 R27
C4 T11 R29
C59 T4 R10
C93 T15 R25
C66 T12 R24

Timeslot 3:
C27 T16 R1
C68 T18 R25
C60 T23 R17
C51 T19 R27
C14 T3 R15
C91 T22 R26
C58 T13 R10
C74 T7 R12
C49 T28 R29

Timeslot 4:
C54 T23 R17
C88 T21 R13
C63 T17 R29
C77 T9 R26
C87 T26 R12
C33 T13 R4
C8 T3 R15
C42 T6 R27
C19 T8 R1
C99 T5 R25
C69 T4 R10

Timeslot 5:
C5 T27 R15
C84 T24 R24
C97 T25 R10
C36 T29 R27
C48 T15 R12
C40 T28 R29
C90 T1 R25
C25 T20 R1
C57 T14 R9
C10 T8 R17
C29 T3 R26

Timeslot 6:
C6 T16 R17
C9 T29 R15
C85 T1 R10
C41 T28 R12
C72 T21 R25
C53 T23 R27
C23 T8 R1
C43 T4 R29

Timeslot 7:
C81 T26 R12
C24 T12 R1
C44 T7 R29
C7 T11 R23
C78 T9 R10
C56 T21 R27
C82 T27 R25
C15 T10 R15
C96 T24 R26

Timeslot 8:
C11 T19 R15
C75 T7 R29
C65 T2 R27
C22 T29 R28
C73 T18 R24
C98 T25 R10
C34 T16 R12
C1 T20 R26
C71 T17 R25
C55 T13 R17

Timeslot 9:
C13 T17 R15
C47 T6 R12
C30 T12 R29
C50 T2 R27
C35 T11 R1
C76 T5 R10
C89 T22 R25

Timeslot 10:
C79 T20 R29
C92 T22 R26
C86 T24 R10
C37 T10 R27
C12 T3 R15
C46 T13 R12
C64 T28 R25
C28 T9 R1

Timeslot 11:
C18 T8 R15
C83 T2 R25
C31 T14 R12
C67 T16 R10
C32 T12 R27
C45 T23 R29


Executed time: 0.1036825180053711
