Timeslot use: 4

Timeslot 1:
C6 T17 R20
C34 T4 R19
C47 T9 R24
C20 T5 R15
C24 T19 R9
C50 T7 R23
C41 T1 R21
C37 T18 R10
C44 T11 R2
C14 T3 R4
C59 T2 R16
C32 T12 R22
C8 T13 R11
C3 T8 R1
C58 T16 R12
C9 T15 R13
C29 T10 R7

Timeslot 2:
C43 T14 R17
C16 T10 R9
C60 T9 R8
C36 T11 R18
C31 T5 R14
C12 T15 R2
C52 T1 R5
C25 T19 R21
C39 T7 R4
C56 T2 R10
C45 T18 R1
C30 T16 R12
C26 T13 R13
C28 T3 R3
C49 T4 R6

Timeslot 3:
C5 T3 R7
C2 T8 R24
C27 T6 R17
C22 T16 R3
C7 T1 R6
C54 T18 R5
C40 T5 R8
C57 T19 R15
C17 T10 R19
C4 T17 R18
C35 T14 R13
C53 T2 R10
C19 T15 R16
C1 T12 R25

Timeslot 4:
C21 T3 R1
C11 T17 R20
C18 T13 R12
C13 T10 R11
C38 T14 R17
C51 T4 R22
C46 T9 R14
C15 T12 R3
C33 T1 R9
C42 T11 R21
C23 T19 R15
C10 T8 R6
C55 T16 R24
C48 T7 R23


Executed time: 0.01633143424987793
