Timeslot use: 4

Timeslot 1:
C61 T2 R23
C20 T28 R15
C65 T15 R10
C24 T25 R3
C41 T5 R5
C37 T12 R11
C84 T7 R26
C57 T17 R2
C27 T9 R17
C66 T18 R6
C73 T19 R13
C58 T4 R22
C12 T6 R16
C72 T20 R7
C52 T8 R4
C53 T14 R9
C33 T3 R29
C39 T27 R24
C83 T24 R20
C59 T23 R18
C19 T11 R28
C23 T10 R8
C1 T30 R27
C74 T21 R21
C2 T29 R12
C71 T22 R1
C16 T26 R14

Timeslot 2:
C6 T14 R4
C81 T29 R2
C87 T12 R20
C75 T4 R21
C68 T18 R22
C63 T23 R1
C60 T16 R13
C51 T10 R5
C31 T11 R7
C67 T8 R19
C78 T7 R25
C46 T1 R12
C4 T3 R15
C8 T9 R29
C3 T13 R16
C35 T21 R28
C5 T30 R24
C40 T22 R8
C76 T25 R18
C28 T19 R27
C69 T15 R3
C49 T6 R23
C29 T17 R11

Timeslot 3:
C21 T11 R14
C11 T26 R16
C13 T1 R19
C85 T4 R1
C9 T20 R28
C79 T19 R7
C50 T14 R22
C30 T5 R2
C22 T27 R8
C80 T2 R6
C77 T12 R26
C14 T25 R15
C54 T24 R12
C32 T9 R13
C17 T7 R29
C25 T28 R5
C47 T16 R17
C42 T6 R20
C82 T29 R10
C26 T8 R27
C43 T13 R9
C86 T21 R21

Timeslot 4:
C62 T20 R19
C34 T10 R11
C18 T13 R3
C88 T16 R18
C44 T1 R27
C36 T22 R9
C7 T28 R6
C64 T18 R23
C56 T2 R26
C45 T24 R17
C70 T23 R4
C15 T26 R10
C10 T3 R15
C38 T5 R14
C55 T15 R12
C48 T27 R24


Executed time: 0.032922983169555664
