Timeslot use: 5

Timeslot 1:
C62 T2 R1
C21 T13 R19
C11 T9 R21
C20 T7 R9
C2 T14 R8
C24 T4 R24
C63 T5 R15
C74 T8 R18
C83 T17 R16
C38 T11 R7
C7 T1 R25
C73 T3 R3
C33 T6 R6
C3 T20 R11
C70 T10 R4
C58 T16 R20
C23 T19 R10
C76 T18 R22
C22 T12 R23

Timeslot 2:
C13 T9 R8
C34 T18 R9
C71 T8 R10
C68 T5 R1
C35 T11 R5
C77 T3 R16
C67 T1 R12
C57 T4 R18
C46 T19 R17
C72 T6 R4
C52 T10 R22
C4 T14 R2
C39 T16 R20
C42 T2 R14
C45 T12 R7
C53 T7 R13
C1 T20 R11
C55 T13 R24
C86 T15 R23

Timeslot 3:
C6 T10 R19
C61 T16 R21
C43 T7 R20
C41 T5 R7
C84 T13 R2
C80 T3 R13
C60 T11 R12
C51 T19 R6
C14 T12 R11
C66 T17 R15
C12 T9 R8
C25 T18 R1
C8 T14 R5
C81 T1 R24
C56 T4 R3
C28 T6 R17
C69 T8 R4
C29 T2 R14

Timeslot 4:
C65 T13 R15
C37 T6 R10
C16 T12 R9
C75 T2 R1
C36 T7 R5
C54 T18 R17
C50 T19 R6
C78 T16 R7
C64 T4 R13
C47 T8 R18
C82 T10 R2
C26 T14 R20
C19 T9 R19
C10 T5 R11
C79 T3 R14
C48 T11 R23

Timeslot 5:
C5 T7 R19
C85 T13 R16
C32 T2 R8
C27 T19 R17
C44 T4 R12
C40 T16 R10
C18 T12 R9
C31 T6 R24
C87 T10 R15
C17 T9 R22
C88 T17 R21
C59 T5 R13
C30 T18 R5
C15 T1 R6
C9 T14 R25
C49 T11 R3


Executed time: 0.030219078063964844
