Timeslot use: 3

Timeslot 1:
C62 T1 R3
C61 T2 R10
C20 T25 R8
C2 T16 R29
C75 T10 R19
C24 T19 R17
C80 T9 R1
C37 T7 R24
C38 T23 R7
C41 T15 R23
C60 T21 R4
C18 T28 R15
C7 T26 R11
C10 T14 R22
C59 T29 R6
C32 T17 R14
C72 T4 R25
C52 T3 R16
C4 T18 R13
C56 T8 R28
C45 T12 R27
C6 T13 R21
C21 T5 R12
C9 T11 R5
C76 T22 R20
C35 T27 R9
C43 T20 R26

Timeslot 2:
C34 T23 R21
C65 T21 R18
C68 T27 R27
C27 T14 R5
C50 T9 R23
C63 T24 R20
C77 T6 R28
C51 T5 R16
C54 T4 R26
C40 T7 R9
C67 T22 R2
C58 T3 R6
C12 T25 R24
C46 T19 R3
C17 T17 R8
C39 T16 R1
C33 T11 R7
C8 T15 R12
C57 T13 R17
C26 T18 R15
C19 T29 R14
C15 T26 R29
C47 T12 R11
C74 T2 R25
C28 T8 R13
C69 T28 R10
C25 T20 R22

Timeslot 3:
C13 T8 R29
C55 T5 R16
C11 T13 R21
C71 T6 R2
C44 T28 R5
C22 T17 R24
C16 T12 R26
C36 T18 R17
C31 T25 R3
C66 T27 R10
C73 T2 R25
C14 T11 R14
C78 T10 R18
C64 T20 R19
C3 T16 R15
C42 T7 R13
C70 T29 R6
C53 T24 R23
C5 T26 R30
C30 T14 R8
C23 T19 R22
C1 T4 R12
C79 T9 R27
C48 T21 R7
C49 T1 R1
C29 T23 R11


Executed time: 0.026703357696533203
