Timeslot use: 5

Timeslot 1:
C11 T8 R3
C9 T17 R1
C2 T4 R30
C68 T12 R13
C80 T16 R24
C56 T13 R6
C84 T23 R9
C40 T11 R12
C51 T10 R18
C14 T27 R20
C31 T24 R23
C67 T3 R8
C12 T9 R19
C36 T2 R16
C78 T25 R11
C64 T21 R21
C33 T19 R27
C42 T14 R14
C62 T1 R22
C70 T5 R15
C19 T22 R2
C23 T28 R29
C71 T26 R26

Timeslot 2:
C6 T24 R30
C13 T9 R10
C61 T21 R25
C81 T3 R9
C24 T11 R21
C27 T28 R5
C37 T2 R17
C30 T22 R2
C60 T13 R19
C16 T27 R12
C66 T1 R3
C32 T19 R4
C72 T16 R28
C52 T25 R27
C8 T10 R6
C3 T17 R1
C35 T12 R18
C45 T14 R22
C59 T23 R13
C82 T29 R26
C76 T5 R15
C79 T18 R24
C48 T20 R20

Timeslot 3:
C21 T19 R21
C22 T27 R10
C75 T25 R25
C69 T16 R26
C73 T12 R15
C50 T13 R17
C46 T5 R2
C39 T21 R20
C25 T28 R29
C34 T11 R27
C1 T14 R30
C28 T2 R6
C15 T9 R16

Timeslot 4:
C57 T14 R13
C20 T17 R4
C65 T25 R22
C10 T27 R12
C41 T2 R28
C63 T16 R5
C77 T23 R1
C18 T15 R6
C54 T21 R17
C58 T5 R14
C17 T9 R10
C43 T19 R23
C53 T13 R25
C74 T12 R8
C29 T28 R2
C55 T11 R15

Timeslot 5:
C5 T27 R11
C44 T11 R16
C83 T25 R25
C7 T17 R27
C26 T28 R8
C47 T2 R18
C49 T19 R10
C38 T14 R3
C4 T9 R30


Executed time: 0.03482317924499512
