Timeslot use: 4

Timeslot 1:
C62 T8 R11
C13 T18 R16
C94 T2 R25
C71 T1 R7
C92 T26 R6
C80 T9 R15
C37 T5 R27
C44 T28 R29
C27 T13 R4
C36 T19 R23
C54 T23 R19
C66 T24 R2
C73 T6 R9
C50 T25 R10
C79 T11 R21
C46 T22 R26
C72 T29 R3
C33 T7 R28
C8 T21 R20
C42 T20 R22
C58 T27 R17
C84 T16 R18
C19 T15 R12
C86 T14 R8
C20 T10 R13
C74 T4 R5
C4 T12 R14
C16 T17 R1

Timeslot 2:
C6 T22 R19
C81 T29 R5
C11 T17 R14
C38 T20 R11
C24 T13 R12
C83 T28 R21
C22 T8 R20
C77 T16 R15
C60 T23 R7
C67 T2 R10
C59 T4 R24
C12 T7 R28
C52 T5 R6
C53 T6 R25
C25 T26 R13
C39 T27 R23
C3 T12 R30
C88 T9 R27
C70 T21 R8
C57 T18 R29
C5 T10 R9
C23 T15 R4
C75 T3 R1
C95 T25 R26
C91 T11 R18
C29 T24 R17

Timeslot 3:
C21 T10 R23
C85 T14 R18
C61 T4 R10
C63 T8 R3
C1 T29 R16
C41 T2 R22
C90 T3 R6
C96 T27 R24
C51 T5 R4
C14 T13 R12
C31 T28 R17
C32 T12 R13
C7 T17 R1
C78 T9 R15
C17 T18 R14
C93 T26 R25
C56 T23 R29
C82 T19 R27
C40 T7 R19
C89 T11 R5
C76 T21 R7
C28 T22 R20
C49 T1 R11
C48 T25 R9

Timeslot 4:
C18 T19 R16
C9 T22 R28
C2 T30 R23
C10 T18 R18
C68 T15 R21
C34 T5 R12
C69 T6 R3
C87 T14 R26
C64 T16 R1
C47 T1 R22
C35 T12 R13
C45 T28 R10
C30 T3 R20
C26 T13 R17
C15 T10 R9
C43 T20 R8
C65 T24 R24
C55 T2 R29


Executed time: 0.027113676071166992
