Timeslot use: 5

Timeslot 1:
C8 T8 R21
C46 T19 R3
C67 T15 R6
C61 T7 R17
C9 T9 R12
C2 T20 R11
C24 T4 R7
C56 T11 R24
C34 T16 R1
C30 T2 R20
C22 T17 R10
C15 T10 R23
C60 T13 R2
C19 T5 R18
C1 T3 R25
C29 T12 R15

Timeslot 2:
C21 T2 R23
C13 T6 R6
C18 T19 R20
C17 T5 R21
C32 T15 R1
C16 T14 R7
C65 T13 R12
C47 T4 R10
C45 T1 R9
C42 T17 R18
C53 T10 R22
C44 T9 R15
C10 T8 R25
C51 T3 R17
C49 T11 R5
C66 T18 R13

Timeslot 3:
C6 T11 R25
C14 T16 R24
C37 T9 R3
C52 T13 R22
C7 T10 R15
C12 T8 R21
C35 T19 R1
C27 T18 R23
C54 T4 R7
C58 T5 R6
C57 T1 R17
C23 T14 R11
C11 T3 R20
C36 T12 R9
C31 T7 R10
C48 T6 R12

Timeslot 4:
C62 T1 R1
C50 T12 R9
C39 T4 R15
C3 T2 R25
C68 T16 R6
C41 T15 R10
C59 T18 R24
C26 T19 R23
C63 T17 R12
C28 T9 R7

Timeslot 5:
C5 T1 R25
C43 T2 R15
C64 T7 R24
C20 T10 R9
C33 T11 R17
C38 T16 R10
C40 T3 R7
C25 T6 R20
C55 T18 R12
C4 T14 R21


Executed time: 0.022053003311157227
