Timeslot use: 3

Timeslot 1:
C21 T1 R24
C11 T23 R7
C8 T28 R11
C20 T19 R6
C65 T13 R27
C68 T26 R26
C27 T8 R9
C44 T18 R15
C22 T16 R13
C63 T6 R12
C51 T21 R3
C14 T11 R5
C66 T4 R25
C53 T9 R2
C7 T20 R17
C17 T3 R21
C46 T17 R16
C52 T5 R23
C33 T27 R8
C61 T29 R18
C3 T7 R4
C56 T25 R14
C57 T15 R19
C19 T2 R29
C64 T10 R20
C25 T22 R28
C48 T12 R10

Timeslot 2:
C13 T20 R21
C47 T12 R10
C24 T27 R1
C41 T15 R2
C45 T19 R6
C16 T22 R24
C36 T14 R8
C58 T8 R27
C50 T25 R22
C35 T28 R13
C6 T24 R4
C30 T16 R12
C26 T11 R29
C23 T2 R28
C28 T23 R15
C55 T13 R17
C49 T9 R3
C29 T21 R7

Timeslot 3:
C62 T10 R22
C5 T19 R29
C9 T28 R14
C2 T1 R25
C10 T25 R21
C38 T27 R24
C60 T16 R19
C40 T11 R23
C18 T9 R20
C37 T12 R2
C54 T18 R9
C31 T14 R12
C67 T6 R15
C12 T23 R11
C32 T17 R18
C39 T7 R10
C4 T3 R5
C34 T2 R16
C42 T13 R1
C59 T26 R17
C15 T22 R6
C1 T24 R8
C43 T5 R26


Executed time: 0.019663572311401367
