Timeslot use: 3

Timeslot 1:
C53 T22 R2
C21 T23 R19
C37 T3 R26
C25 T15 R20
C33 T13 R23
C45 T29 R15
C58 T4 R3
C48 T24 R10
C30 T16 R18
C57 T1 R21
C31 T18 R5
C47 T14 R28
C24 T9 R13
C50 T25 R4
C46 T5 R17
C38 T2 R25
C20 T8 R29
C61 T11 R7
C43 T26 R9
C32 T12 R24
C28 T17 R1
C36 T6 R12
C2 T30 R14
C14 T10 R27
C7 T19 R6
C4 T27 R22
C18 T20 R8
C16 T21 R11
C56 T7 R16

Timeslot 2:
C60 T28 R1
C6 T20 R6
C17 T1 R12
C64 T18 R2
C49 T8 R10
C22 T13 R23
C23 T7 R8
C8 T15 R25
C15 T10 R24
C5 T25 R13
C55 T11 R7
C10 T19 R5
C44 T16 R15
C11 T6 R4
C3 T9 R19
C1 T21 R9
C59 T12 R21
C54 T4 R26
C9 T23 R29
C34 T27 R27
C26 T22 R11
C63 T17 R17
C52 T5 R28
C42 T2 R3
C51 T3 R22

Timeslot 3:
C13 T21 R19
C27 T26 R14
C62 T28 R16
C19 T24 R20
C41 T14 R18
C40 T29 R3
C12 T10 R11
C35 T11 R22
C29 T3 R23
C39 T13 R7


Executed time: 0.018541812896728516
