Timeslot use: 3

Timeslot 1:
C60 T22 R8
C6 T5 R7
C21 T20 R14
C37 T21 R11
C3 T7 R5
C64 T13 R22
C49 T2 R9
C22 T28 R13
C53 T19 R16
C46 T6 R20
C15 T25 R4
C30 T15 R6
C27 T17 R24
C39 T26 R21
C31 T10 R2
C24 T16 R3
C50 T14 R15
C65 T18 R23
C44 T23 R25
C1 T1 R28
C28 T9 R29
C14 T11 R1
C67 T29 R17
C58 T8 R18
C63 T27 R27
C52 T24 R10
C4 T4 R12
C42 T3 R19
C57 T12 R26

Timeslot 2:
C17 T4 R14
C51 T13 R8
C66 T1 R22
C5 T11 R4
C55 T18 R19
C47 T23 R26
C10 T14 R2
C43 T17 R24
C11 T19 R5
C54 T8 R17
C18 T5 R29
C19 T7 R28
C45 T10 R15
C9 T3 R12
C36 T16 R1
C41 T27 R11
C26 T12 R3
C29 T20 R6
C8 T28 R7
C38 T25 R16
C35 T26 R9
C16 T21 R10

Timeslot 3:
C25 T22 R1
C61 T24 R22
C33 T20 R9
C23 T26 R21
C48 T2 R25
C2 T7 R5
C56 T18 R10
C62 T1 R11
C20 T11 R7
C59 T6 R23
C32 T9 R20
C68 T29 R27
C7 T28 R4
C40 T3 R19
C34 T15 R6
C12 T21 R8
C13 T13 R14


Executed time: 0.01766204833984375
