Timeslot use: 3

Timeslot 1:
C60 T5 R3
C6 T26 R25
C17 T23 R9
C13 T1 R5
C64 T7 R11
C23 T20 R27
C48 T24 R7
C30 T10 R6
C66 T19 R19
C57 T15 R16
C31 T13 R1
C24 T16 R18
C50 T28 R2
C28 T11 R24
C38 T29 R28
C69 T22 R13
C1 T30 R20
C59 T8 R15
C43 T27 R29
C32 T14 R14
C9 T12 R17
C67 T17 R8
C58 T2 R22
C26 T18 R10
C7 T25 R4
C72 T4 R26
C52 T21 R21
C20 T6 R23
C16 T9 R12

Timeslot 2:
C51 T20 R14
C37 T21 R10
C49 T29 R4
C22 T16 R26
C53 T14 R2
C39 T19 R16
C44 T22 R13
C62 T5 R11
C19 T18 R12
C61 T2 R29
C54 T7 R7
C68 T1 R1
C41 T13 R9
C5 T24 R17
C25 T11 R22
C8 T25 R6
C40 T23 R21
C70 T3 R8
C12 T12 R27
C35 T10 R5
C4 T15 R25
C29 T28 R20

Timeslot 3:
C21 T25 R20
C3 T30 R24
C33 T21 R4
C71 T6 R21
C46 T27 R28
C15 T24 R3
C2 T13 R25
C27 T20 R1
C56 T22 R6
C47 T10 R15
C55 T8 R19
C11 T9 R27
C10 T23 R17
C18 T12 R9
C45 T17 R14
C14 T4 R18
C34 T11 R22
C36 T18 R10
C63 T1 R23
C42 T28 R5
C65 T2 R11


Executed time: 0.018749475479125977
