Timeslot use: 4

Timeslot 1:
C60 T13 R14
C94 T14 R22
C21 T11 R1
C74 T5 R11
C37 T18 R7
C51 T27 R18
C22 T2 R4
C67 T25 R2
C48 T3 R8
C66 T21 R23
C39 T1 R19
C24 T26 R12
C55 T6 R28
C62 T24 R10
C3 T12 R9
C69 T29 R25
C59 T28 R17
C80 T23 R29
C9 T15 R3
C36 T20 R5
C13 T7 R6
C100 T22 R21
C26 T4 R27
C84 T8 R20
C72 T17 R16
C52 T19 R26
C86 T10 R15
C77 T16 R24
C4 T9 R13

Timeslot 2:
C6 T15 R18
C17 T12 R27
C64 T3 R17
C49 T24 R5
C33 T6 R11
C47 T27 R19
C23 T11 R7
C90 T10 R15
C85 T18 R20
C82 T5 R21
C27 T4 R1
C56 T29 R3
C76 T28 R23
C75 T8 R10
C10 T2 R9
C91 T14 R22
C19 T26 R4
C54 T13 R8
C30 T25 R12
C34 T17 R26
C14 T9 R13
C78 T19 R16
C92 T23 R29
C95 T22 R2
C7 T20 R6
C63 T7 R28
C2 T16 R25
C96 T1 R24
C57 T21 R14

Timeslot 3:
C46 T18 R7
C15 T9 R25
C53 T5 R18
C50 T20 R4
C20 T2 R19
C1 T12 R12
C25 T3 R8
C28 T26 R6
C68 T1 R11
C87 T13 R10
C5 T11 R27
C93 T22 R14
C40 T21 R5
C12 T4 R9
C42 T19 R26
C98 T23 R21

Timeslot 4:
C99 T8 R29
C70 T16 R28
C79 T1 R15
C88 T25 R24
C44 T15 R5
C71 T27 R23
C73 T11 R11
C45 T4 R20
C97 T10 R22
C83 T18 R16
C11 T26 R9
C18 T29 R7
C31 T3 R2
C61 T24 R8
C43 T7 R1
C32 T12 R4
C81 T14 R25
C41 T28 R13
C58 T20 R17
C29 T19 R12
C8 T9 R27
C38 T21 R19
C89 T13 R10
C35 T6 R18
C16 T2 R6
C65 T17 R3


Executed time: 0.02604532241821289
