Timeslot use: 3

Timeslot 1:
C60 T1 R26
C74 T11 R20
C37 T18 R10
C64 T3 R11
C70 T24 R8
C33 T29 R21
C22 T13 R12
C23 T14 R5
C2 T8 R30
C66 T16 R13
C39 T19 R7
C76 T15 R4
C75 T17 R2
C21 T7 R1
C10 T6 R18
C28 T26 R24
C11 T2 R16
C20 T12 R3
C59 T9 R28
C54 T5 R15
C9 T20 R6
C68 T22 R9
C14 T28 R25
C17 T21 R23
C82 T23 R19
C27 T25 R22
C40 T10 R17
C57 T4 R27

Timeslot 2:
C19 T7 R15
C49 T20 R13
C79 T3 R11
C46 T12 R9
C48 T5 R20
C6 T25 R16
C31 T2 R1
C71 T11 R26
C24 T13 R10
C45 T6 R27
C80 T23 R19
C50 T18 R23
C69 T10 R4
C1 T22 R7
C25 T21 R25
C43 T27 R29
C32 T26 R17
C36 T28 R21
C78 T17 R6
C65 T4 R2
C52 T24 R24
C12 T16 R8
C35 T14 R22
C62 T1 R3
C18 T8 R12
C42 T9 R5
C16 T19 R18

Timeslot 3:
C51 T4 R2
C8 T7 R18
C67 T11 R20
C26 T26 R17
C15 T21 R16
C30 T19 R5
C84 T23 R28
C56 T5 R27
C47 T22 R24
C73 T29 R26
C55 T15 R8
C44 T27 R13
C83 T10 R3
C53 T6 R29
C38 T9 R14
C61 T14 R6
C3 T16 R23
C34 T12 R7
C81 T20 R4
C41 T8 R12
C13 T2 R15
C58 T18 R10
C5 T24 R1
C7 T25 R21
C63 T17 R9
C77 T3 R19
C4 T13 R25
C29 T28 R22
C72 T1 R11


Executed time: 0.028854846954345703
