Timeslot use: 3

Timeslot 1:
C1 T2 R6
C6 T7 R15
C9 T10 R5
C3 T3 R2
C14 T8 R13
C8 T6 R8
C25 T4 R11
C15 T1 R9
C30 T5 R4
C19 T11 R7
C20 T9 R3

Timeslot 2:
C13 T6 R5
C22 T7 R11
C23 T10 R13
C5 T3 R15
C2 T1 R4
C27 T4 R10
C26 T8 R2
C12 T9 R8
C21 T11 R7
C4 T2 R6

Timeslot 3:
C17 T1 R5
C29 T7 R3
C7 T3 R2
C24 T9 R11
C10 T8 R15
C18 T6 R8
C11 T2 R7
C16 T11 R13
C28 T5 R4


Executed time: 0.004863262176513672
