Timeslot use: 3

Timeslot 1:
C51 T11 R2
C6 T21 R22
C37 T22 R18
C3 T5 R8
C49 T9 R19
C33 T28 R28
C22 T17 R23
C8 T1 R24
C44 T26 R6
C48 T20 R17
C2 T16 R14
C39 T25 R20
C31 T10 R21
C38 T18 R7
C18 T23 R10
C19 T12 R16
C45 T15 R3
C32 T2 R27
C28 T7 R26
C36 T19 R29
C26 T3 R4
C14 T14 R9
C52 T24 R12
C12 T13 R25
C42 T27 R1

Timeslot 2:
C55 T11 R6
C25 T3 R15
C17 T27 R11
C15 T21 R16
C53 T20 R7
C27 T5 R18
C24 T2 R1
C50 T8 R13
C43 T29 R17
C20 T19 R26
C1 T13 R5
C59 T10 R2
C54 T6 R3
C34 T15 R27
C41 T17 R20
C13 T25 R23
C58 T9 R28
C7 T1 R4
C4 T16 R19
C16 T28 R22

Timeslot 3:
C60 T6 R13
C21 T13 R10
C47 T26 R24
C23 T14 R9
C30 T8 R11
C57 T22 R25
C46 T24 R21
C11 T1 R8
C10 T12 R14
C9 T29 R15
C5 T18 R5
C40 T3 R29
C35 T21 R12
C29 T2 R1
C56 T11 R22


Executed time: 0.0166318416595459
