Timeslot use: 5

Timeslot 1:
C74 T15 R16
C13 T5 R19
C64 T14 R18
C49 T7 R21
C43 T12 R14
C2 T3 R12
C66 T10 R15
C57 T16 R7
C50 T6 R9
C17 T8 R2
C1 T11 R25
C54 T2 R8
C80 T13 R11
C9 T9 R1
C34 T17 R13
C36 T1 R24
C86 T18 R23
C35 T19 R3

Timeslot 2:
C51 T1 R22
C23 T9 R13
C79 T10 R15
C15 T17 R6
C48 T16 R1
C56 T7 R24
C75 T19 R10
C73 T12 R7
C45 T3 R20
C28 T6 R4
C85 T14 R11
C41 T5 R21
C87 T18 R23
C7 T15 R12
C63 T4 R17
C77 T2 R18
C4 T11 R19
C40 T13 R9
C39 T8 R5

Timeslot 3:
C6 T9 R7
C21 T14 R6
C37 T16 R22
C67 T10 R20
C8 T11 R12
C61 T1 R14
C53 T2 R1
C76 T15 R11
C62 T12 R10
C11 T18 R4
C38 T5 R8
C19 T17 R2
C59 T13 R17
C58 T8 R21
C29 T3 R13
C88 T19 R23
C70 T4 R15
C42 T7 R5
C16 T6 R19

Timeslot 4:
C60 T4 R1
C22 T3 R2
C44 T11 R8
C84 T13 R22
C71 T14 R7
C46 T5 R5
C83 T18 R10
C10 T2 R12
C69 T19 R18
C25 T7 R6
C81 T8 R23
C78 T1 R24
C5 T10 R14
C14 T9 R3
C72 T12 R9
C12 T17 R4
C65 T6 R20

Timeslot 5:
C55 T16 R14
C24 T15 R4
C33 T13 R8
C30 T3 R9
C27 T14 R3
C31 T7 R19
C47 T6 R11
C18 T17 R16
C32 T11 R2
C68 T1 R10
C3 T9 R25
C82 T4 R22
C26 T19 R13
C52 T2 R17
C20 T10 R6


Executed time: 0.03662514686584473
