Timeslot use: 3

Timeslot 1:
C37 T17 R11
C33 T7 R19
C8 T18 R17
C48 T2 R7
C30 T8 R10
C39 T6 R24
C31 T12 R8
C47 T14 R6
C18 T9 R18
C45 T10 R4
C32 T15 R5
C28 T11 R20
C15 T16 R13
C41 T19 R15
C34 T1 R22
C2 T20 R9
C12 T5 R14
C16 T13 R21

Timeslot 2:
C6 T20 R13
C21 T8 R7
C46 T2 R19
C24 T7 R6
C11 T5 R23
C38 T3 R21
C17 T11 R16
C25 T10 R5
C9 T18 R9
C13 T19 R14
C5 T1 R25
C7 T13 R10
C40 T14 R22
C42 T17 R11

Timeslot 3:
C19 T9 R18
C22 T16 R10
C3 T6 R16
C23 T3 R23
C44 T14 R24
C27 T13 R8
C10 T19 R9
C20 T12 R17
C1 T5 R25
C43 T10 R4
C36 T11 R22
C26 T15 R20
C14 T1 R12
C35 T7 R11
C4 T18 R14
C29 T8 R19


Executed time: 0.0065915584564208984
