Timeslot use: 4

Timeslot 1:
C51 T1 R16
C3 T14 R12
C70 T6 R8
C33 T4 R18
C8 T16 R17
C46 T3 R19
C53 T17 R20
C39 T5 R2
C31 T9 R1
C50 T12 R7
C62 T15 R24
C11 T19 R3
C20 T2 R15
C19 T8 R11
C9 T10 R14
C41 T13 R6
C29 T11 R4
C64 T7 R23
C16 T18 R13

Timeslot 2:
C21 T2 R3
C60 T12 R15
C17 T10 R22
C37 T17 R7
C23 T13 R12
C15 T5 R1
C66 T6 R6
C47 T15 R9
C24 T18 R16
C10 T8 R17
C38 T1 R5
C69 T11 R10
C48 T9 R21
C36 T19 R2
C26 T16 R23
C65 T7 R24
C52 T3 R8

Timeslot 3:
C61 T11 R21
C45 T1 R16
C44 T16 R7
C27 T2 R1
C57 T7 R19
C71 T15 R22
C1 T9 R11
C59 T6 R2
C43 T8 R18
C32 T4 R20
C7 T5 R14
C68 T18 R9
C34 T10 R4
C58 T12 R10
C63 T17 R6
C2 T3 R13
C4 T19 R8
C42 T13 R5

Timeslot 4:
C55 T12 R21
C6 T18 R4
C49 T10 R5
C22 T4 R15
C30 T8 R13
C56 T17 R20
C18 T16 R12
C25 T2 R10
C54 T11 R23
C28 T1 R14
C14 T9 R9
C67 T7 R22
C5 T15 R3
C40 T3 R18
C12 T5 R11
C35 T13 R24
C13 T19 R17
C72 T6 R19


Executed time: 0.021144390106201172
